,city,school_name,school_rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district,English,Math,Science,pre_k_school,elementary_school,middle_school,high_school,ratio_bins,lat,lon,altitude,Asian,Black,Filipino,Hispanic,Native American,Pacific Islander,Two or more races,Unspecified,White
55,Cerritos,Calvarys Cross Chapel Pre-School,Unrated,"16705 Gridley Road, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/17929-Calvarys-Cross-Chapel-Pre-School/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.879225,-118.09117,0.0,,,,,,,,,
56,Cerritos,Creative Care,Unrated,"18424 Bloomfield Ave, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/18389-Creative-Care/,Private,K,,Unknown,Private,,,,True,False,False,False,Unknown,33.864532594377515,-118.06360908032129,0.0,,,,,,,,,
57,Cerritos,Willow Head Start,Unrated,"16700 Norwalk Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/19770-Willow-Head-Start/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.879699292929295,-118.07259387878788,0.0,,,,,,,,,
58,Cerritos,Palms State Pre-School,Unrated,"16700 Norwalk Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/19774-Palms-State-Pre-School/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.879699292929295,-118.07259387878788,0.0,,,,,,,,,
59,Cerritos,Melbourne Head Start-State Ps,Unrated,"16700 Norwalk Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/19775-Melbourne-Head-Start-State-Ps/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.879699292929295,-118.07259387878788,0.0,,,,,,,,,
60,Cerritos,Concordia Lutheran School,Unrated,"13633 183rd St, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/24216-Concordia-Lutheran-School/,Private,"PK-5, 7",,Unknown,Private,,,,True,True,True,False,Unknown,33.86606710426147,-118.04119647118804,0.0,,,,,,,,,
61,Cerritos,Valley Christian School System,Unrated,"10818 Artesia Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/24575-Valley-Christian-School-System/,Private,PK-12,1159.0,Unknown,Private,,,,True,True,True,True,Unknown,33.87285463265306,-118.10309740816326,0.0,,,,,,,,,
62,Cerritos,Yellow Brick Road Academy,Unrated,"11349 Abana St, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/24603-Yellow-Brick-Road-Academy/,Private,PK-K,,Unknown,Private,,,,True,False,False,False,Unknown,33.87392993877551,-118.0915397755102,0.0,,,,,,,,,
63,Cerritos,Broman School,Unrated,"13545 Acoro Place, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/25943-Broman-School/,Private,1-12,6.0,Unknown,Private,,,,False,True,True,True,Unknown,33.87215324489796,-118.04351540816327,0.0,,,,,,,,,
64,Cerritos,Heritage Park Tot Lot,Unrated,"18826 Rochelle Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/28990-Heritage-Park-Tot-Lot/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.86066344966443,-118.06527724161074,0.0,,,,,,,,,
65,Cerritos,Carlyle Family Day Care,Unrated,"17008 Maurice Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/29694-Carlyle-Family-Day-Care/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.87662416582915,-118.05565923115576,0.0,,,,,,,,,
66,Cerritos,Sonshine Ps-Cerritos Ch Nzrne,Unrated,"12229 Del Amo Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/30471-Sonshine-Ps-Cerritos-Ch-Nzrne/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.84617153755472,-118.07137028292532,0.0,,,,,,,,,
