,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
197,Cdi Head Start-Randle,Unrated,"Po Box 5517, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29762-Cdi-Head-Start-Randle/,Private,PK,N/A,N/A,N/A
198,Cdi Head Start-Bethune,Unrated,"Po Box 5517, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29763-Cdi-Head-Start-Bethune/,Private,PK,N/A,N/A,N/A
199,Cdi Head Start-Mary B Henry,Unrated,"Po Box 5517, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29765-Cdi-Head-Start-Mary-B-Henry/,Private,PK,N/A,N/A,N/A
200,Cdi Head Start-Cesar Chavez,Unrated,"Po Box 5517, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29770-Cdi-Head-Start-Cesar-Chavez/,Private,PK,N/A,N/A,N/A
201,Cdi Head Start-Bright Stars,Unrated,"Po Box 5517, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29771-Cdi-Head-Start-Bright-Stars/,Private,PK,N/A,N/A,N/A
202,Elm Street Head Start,Unrated,"1425 Elm Avenue, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/29902-Elm-Street-Head-Start/,Private,PK,N/A,N/A,N/A
203,Sesson Child Care Center,Unrated,"189 East Ellis Street, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29972-Sesson-Child-Care-Center/,Private,PK,N/A,N/A,N/A
204,Ices Education Child Care Center-Birney,Unrated,"Po Box 3033, Long Beach, CA, 90803",https://www.greatschools.org/california/long-beach/29997-Ices-Education-Child-Care-Center-Birney/,Private,PK,N/A,N/A,N/A
205,Little Owl Pre-School,Unrated,"3426 Linden Avenue, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/30277-Little-Owl-Pre-School/,Private,PK,N/A,N/A,N/A
206,Un Mundo De Amigos Pre-School,Unrated,"1480 Long Beach Boulevard, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/30297-Un-Mundo-De-Amigos-Pre-School/,Private,PK,N/A,N/A,N/A
207,Kidz R Us Community Child Care Center,Unrated,"1115 East Market Street, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/30377-Kidz-R-Us-Community-Child-Care-Center/,Private,PK,N/A,N/A,N/A
208,Fun 2 Learn Pre-School,Unrated,"5942 Orange Avenue, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/30386-Fun-2-Learn-Pre-School/,Private,PK,N/A,N/A,N/A
209,Creative Minds Christian Academy,Unrated,"6380 Orange Avenue, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/30396-Creative-Minds-Christian-Academy/,Private,PK,N/A,N/A,N/A
210,All About Kids Learning Center,Unrated,"1310 East Artesia Boulevard, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/30404-All-About-Kids-Learning-Center/,Private,PK,N/A,N/A,N/A
211,Bixby Oaks Child Care Center,Unrated,"3832 Long Beach Boulevard, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/30446-Bixby-Oaks-Child-Care-Center/,Private,PK,N/A,N/A,N/A
212,Open Door Enrichment Child Care Center,Unrated,"132 East Artesia Boulevard, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/30463-Open-Door-Enrichment-Child-Care-Center/,Private,PK,N/A,N/A,N/A
213,The Education Corps,Unrated,"3635 Atlantic Avenue, Long Beach, CA, 90807",https://www.greatschools.org/california/los-angeles/31212-The-Education-Corps/,Public charter,9-12,235,32:1,The Education Corps District
